Vardas                   Pavarde                  ND 1      ND 2      ND 3      ND 4      ND 5      Egz.      
Vardas1                  Pavarde1                 6         9         7         8         1         1         
Vardas2                  Pavarde2                 10        10        5         6         2         5         
Vardas3                  Pavarde3                 9         1         6         6         2         5         
Vardas4                  Pavarde4                 9         1         1         5         2         7         
Vardas5                  Pavarde5                 5         1         7         1         5         3         
Vardas6                  Pavarde6                 10        5         5         1         4         6         
Vardas7                  Pavarde7                 10        10        6         10        6         5         
Vardas8                  Pavarde8                 8         4         8         7         1         3         
Vardas9                  Pavarde9                 8         7         8         10        2         6         
Vardas10                 Pavarde10                9         8         5         6         5         7         
Vardas11                 Pavarde11                3         5         5         4         3         10        
Vardas12                 Pavarde12                1         10        7         1         2         5         
Vardas13                 Pavarde13                8         4         7         7         5         1         
Vardas14                 Pavarde14                3         8         9         7         5         5         
Vardas15                 Pavarde15                3         3         9         2         4         4         
Vardas16                 Pavarde16                6         7         3         4         4         2         
Vardas17                 Pavarde17                4         2         9         7         2         10        
Vardas18                 Pavarde18                4         8         8         5         10        3         
Vardas19                 Pavarde19                8         4         7         8         10        9         
Vardas20                 Pavarde20                1         7         3         2         2         3         
Vardas21                 Pavarde21                2         5         10        2         7         2         
Vardas22                 Pavarde22                9         7         9         5         4         4         
Vardas23                 Pavarde23                2         10        3         9         6         4         
Vardas24                 Pavarde24                7         7         9         7         8         3         
Vardas25                 Pavarde25                9         9         5         8         2         4         
Vardas26                 Pavarde26                4         3         9         9         7         2         
Vardas27                 Pavarde27                9         4         5         7         2         1         
Vardas28                 Pavarde28                7         1         7         2         1         1         
Vardas29                 Pavarde29                1         10        1         5         10        8         
Vardas30                 Pavarde30                6         1         6         2         8         4         
Vardas31                 Pavarde31                4         8         7         8         5         7         
Vardas32                 Pavarde32                8         5         5         10        6         3         
Vardas33                 Pavarde33                8         3         10        2         5         3         
Vardas34                 Pavarde34                9         1         6         3         1         10        
Vardas35                 Pavarde35                7         7         6         8         3         8         
Vardas36                 Pavarde36                7         2         1         10        4         1         
Vardas37                 Pavarde37                4         3         9         10        1         6         
Vardas38                 Pavarde38                2         8         5         7         1         5         
Vardas39                 Pavarde39                2         10        6         1         4         1         
Vardas40                 Pavarde40                10        8         1         8         4         10        
Vardas41                 Pavarde41                2         10        1         3         1         2         
Vardas42                 Pavarde42                3         2         8         7         7         4         
Vardas43                 Pavarde43                8         5         10        8         2         7         
Vardas44                 Pavarde44                3         8         8         8         3         10        
Vardas45                 Pavarde45                10        3         1         10        4         6         
Vardas46                 Pavarde46                6         5         6         6         6         7         
Vardas47                 Pavarde47                10        6         1         6         7         10        
Vardas48                 Pavarde48                9         7         4         5         4         1         
Vardas49                 Pavarde49                5         5         1         5         3         10        
Vardas50                 Pavarde50                5         5         2         1         2         1         
Vardas51                 Pavarde51                9         6         7         4         2         4         
Vardas52                 Pavarde52                5         7         8         5         7         6         
Vardas53                 Pavarde53                7         5         10        2         1         4         
Vardas54                 Pavarde54                1         3         1         9         7         10        
Vardas55                 Pavarde55                1         1         1         6         9         3         
Vardas56                 Pavarde56                2         5         9         2         6         10        
Vardas57                 Pavarde57                10        3         4         5         6         4         
Vardas58                 Pavarde58                5         1         5         8         5         10        
Vardas59                 Pavarde59                3         3         9         3         10        2         
Vardas60                 Pavarde60                10        1         1         2         8         10        
Vardas61                 Pavarde61                7         10        1         1         6         10        
Vardas62                 Pavarde62                1         10        5         7         7         10        
Vardas63                 Pavarde63                3         8         9         7         5         7         
Vardas64                 Pavarde64                3         3         4         4         3         5         
Vardas65                 Pavarde65                9         3         2         8         5         9         
Vardas66                 Pavarde66                10        1         2         2         1         10        
Vardas67                 Pavarde67                2         6         6         10        9         10        
Vardas68                 Pavarde68                5         9         5         8         10        4         
Vardas69                 Pavarde69                5         9         3         8         2         2         
Vardas70                 Pavarde70                1         3         2         5         6         8         
Vardas71                 Pavarde71                5         6         10        10        3         2         
Vardas72                 Pavarde72                3         6         4         1         8         8         
Vardas73                 Pavarde73                6         5         5         4         7         1         
Vardas74                 Pavarde74                7         6         3         4         3         10        
Vardas75                 Pavarde75                3         7         7         6         9         6         
Vardas76                 Pavarde76                6         2         3         9         2         2         
Vardas77                 Pavarde77                7         7         2         6         5         9         
Vardas78                 Pavarde78                3         1         6         4         1         4         
Vardas79                 Pavarde79                7         10        10        9         3         2         
Vardas80                 Pavarde80                4         3         10        1         3         5         
Vardas81                 Pavarde81                6         10        1         5         5         7         
Vardas82                 Pavarde82                10        9         9         6         10        3         
Vardas83                 Pavarde83                5         10        10        2         7         5         
Vardas84                 Pavarde84                6         6         9         2         9         9         
Vardas85                 Pavarde85                9         1         4         10        9         3         
Vardas86                 Pavarde86                3         2         9         6         10        3         
Vardas87                 Pavarde87                5         5         4         10        8         3         
Vardas88                 Pavarde88                7         5         3         3         3         8         
Vardas89                 Pavarde89                5         9         8         8         7         2         
Vardas90                 Pavarde90                9         8         3         10        5         6         
Vardas91                 Pavarde91                7         9         10        5         7         2         
Vardas92                 Pavarde92                8         4         5         1         4         7         
Vardas93                 Pavarde93                2         7         6         10        9         4         
Vardas94                 Pavarde94                6         6         8         4         6         5         
Vardas95                 Pavarde95                10        6         6         4         6         3         
Vardas96                 Pavarde96                10        3         6         4         6         5         
Vardas97                 Pavarde97                5         4         6         7         1         7         
Vardas98                 Pavarde98                1         5         3         5         7         5         
Vardas99                 Pavarde99                7         2         6         6         9         1         
Vardas100                Pavarde100               4         6         2         10        3         9         
