Vardas                   Pavarde                  ND 1      ND 2      ND 3      ND 4      ND 5      ND 6      ND 7      ND 8      ND 9      ND 10     Egz.      
Vardas1                  Pavarde1                 8         6         1         2         8         9         3         3         10        5         9         
Vardas2                  Pavarde2                 7         6         6         3         1         7         3         5         8         3         3         
Vardas3                  Pavarde3                 7         8         6         4         3         2         1         9         3         10        2         
Vardas4                  Pavarde4                 1         6         5         8         3         4         3         2         4         3         7         
Vardas5                  Pavarde5                 5         4         5         5         5         2         9         7         5         9         3         
Vardas6                  Pavarde6                 9         3         9         9         9         9         1         1         10        9         4         
Vardas7                  Pavarde7                 4         7         4         2         7         7         2         4         4         6         3         
Vardas8                  Pavarde8                 1         9         9         2         4         9         8         9         7         3         7         
Vardas9                  Pavarde9                 6         1         7         8         10        4         8         2         1         1         9         
Vardas10                 Pavarde10                3         5         3         8         5         4         8         10        1         1         3         
Vardas11                 Pavarde11                1         7         5         1         8         1         7         3         1         5         8         
Vardas12                 Pavarde12                4         6         5         6         2         5         9         10        2         5         9         
Vardas13                 Pavarde13                2         10        1         10        1         3         4         10        4         2         9         
Vardas14                 Pavarde14                2         5         5         1         1         5         3         10        1         5         8         
Vardas15                 Pavarde15                9         1         2         7         5         10        2         5         7         7         3         
Vardas16                 Pavarde16                2         9         1         4         8         10        8         4         10        9         2         
Vardas17                 Pavarde17                1         6         8         5         3         4         8         7         10        6         9         
Vardas18                 Pavarde18                5         3         7         7         2         7         5         1         2         6         3         
Vardas19                 Pavarde19                7         7         9         7         8         1         8         2         2         6         9         
Vardas20                 Pavarde20                8         7         4         3         10        5         10        1         4         3         3         
Vardas21                 Pavarde21                1         9         6         2         4         1         9         6         1         9         9         
Vardas22                 Pavarde22                5         4         9         1         5         1         1         3         7         5         3         
Vardas23                 Pavarde23                10        9         9         9         8         10        5         9         8         2         9         
Vardas24                 Pavarde24                10        1         7         8         1         6         2         8         4         1         2         
Vardas25                 Pavarde25                2         10        5         3         1         7         7         4         4         10        1         
Vardas26                 Pavarde26                9         9         5         3         10        7         3         3         8         3         2         
Vardas27                 Pavarde27                4         3         8         10        3         7         9         10        9         5         6         
Vardas28                 Pavarde28                4         8         6         7         7         5         8         5         3         9         9         
Vardas29                 Pavarde29                3         4         5         7         1         7         1         4         10        6         3         
Vardas30                 Pavarde30                1         2         8         10        4         10        5         8         1         3         1         
Vardas31                 Pavarde31                7         5         1         1         4         8         8         2         4         7         5         
Vardas32                 Pavarde32                5         10        8         6         5         4         8         3         6         8         6         
Vardas33                 Pavarde33                3         1         7         6         5         1         4         2         10        5         6         
Vardas34                 Pavarde34                5         2         1         1         1         10        7         4         8         9         7         
Vardas35                 Pavarde35                2         4         1         7         4         7         4         6         8         1         5         
Vardas36                 Pavarde36                5         10        8         8         9         5         1         3         10        7         2         
Vardas37                 Pavarde37                1         1         7         4         2         2         1         6         5         10        2         
Vardas38                 Pavarde38                10        2         6         8         6         2         2         4         7         8         6         
Vardas39                 Pavarde39                5         9         6         5         4         3         4         6         7         7         4         
Vardas40                 Pavarde40                3         9         5         10        6         10        7         5         9         4         5         
Vardas41                 Pavarde41                8         3         6         6         6         6         6         3         4         7         1         
Vardas42                 Pavarde42                10        10        5         10        7         4         9         10        7         4         9         
Vardas43                 Pavarde43                5         5         3         6         4         10        4         6         3         5         2         
Vardas44                 Pavarde44                2         2         8         10        3         6         2         4         4         3         5         
Vardas45                 Pavarde45                5         5         3         4         4         9         9         8         7         10        7         
Vardas46                 Pavarde46                2         10        10        2         8         7         9         3         5         2         10        
Vardas47                 Pavarde47                7         8         6         7         6         9         8         2         1         5         3         
Vardas48                 Pavarde48                7         5         5         5         1         4         8         2         2         6         6         
Vardas49                 Pavarde49                1         7         5         5         6         4         6         7         1         3         7         
Vardas50                 Pavarde50                5         8         9         7         4         2         6         3         6         6         7         
Vardas51                 Pavarde51                10        7         3         3         7         10        2         10        6         2         6         
Vardas52                 Pavarde52                3         4         7         2         9         1         9         5         1         1         7         
Vardas53                 Pavarde53                10        6         9         2         1         10        6         8         7         3         2         
Vardas54                 Pavarde54                7         2         3         7         1         2         3         3         9         2         4         
Vardas55                 Pavarde55                2         5         2         7         8         6         9         2         9         2         1         
Vardas56                 Pavarde56                10        6         9         10        2         2         3         7         5         1         7         
Vardas57                 Pavarde57                10        3         8         1         8         9         8         9         2         6         6         
Vardas58                 Pavarde58                5         6         10        7         7         2         2         9         1         6         3         
Vardas59                 Pavarde59                1         3         5         8         7         1         7         1         7         6         3         
Vardas60                 Pavarde60                7         8         6         10        8         5         9         9         1         3         6         
Vardas61                 Pavarde61                1         9         3         6         2         9         10        3         4         9         5         
Vardas62                 Pavarde62                3         1         10        2         9         3         4         6         2         7         10        
Vardas63                 Pavarde63                2         3         8         6         5         9         10        9         1         3         5         
Vardas64                 Pavarde64                10        8         9         10        3         10        7         6         4         4         4         
Vardas65                 Pavarde65                5         1         4         8         1         6         2         1         7         3         9         
Vardas66                 Pavarde66                8         8         1         4         9         7         3         4         3         5         2         
Vardas67                 Pavarde67                2         7         6         1         5         8         2         7         8         10        9         
Vardas68                 Pavarde68                2         8         3         9         5         9         2         2         2         7         4         
Vardas69                 Pavarde69                8         6         2         10        10        7         5         9         6         1         4         
Vardas70                 Pavarde70                6         5         7         8         8         6         1         5         10        9         1         
Vardas71                 Pavarde71                2         4         9         5         4         10        1         6         4         4         5         
Vardas72                 Pavarde72                1         8         3         6         4         8         4         6         9         4         3         
Vardas73                 Pavarde73                4         4         7         5         10        4         4         6         10        1         4         
Vardas74                 Pavarde74                2         9         8         10        7         2         5         8         5         6         7         
Vardas75                 Pavarde75                2         9         4         5         3         9         8         7         1         3         5         
Vardas76                 Pavarde76                1         4         10        5         1         4         3         5         2         10        4         
Vardas77                 Pavarde77                9         7         5         10        6         3         9         2         6         6         10        
Vardas78                 Pavarde78                5         4         8         7         10        9         4         1         3         1         4         
Vardas79                 Pavarde79                10        5         2         10        8         5         1         2         8         1         7         
Vardas80                 Pavarde80                9         5         9         7         10        2         3         7         9         7         9         
Vardas81                 Pavarde81                1         1         2         4         1         10        10        4         5         5         8         
Vardas82                 Pavarde82                1         6         3         1         5         1         3         2         10        3         6         
Vardas83                 Pavarde83                5         3         5         4         10        3         1         6         9         7         2         
Vardas84                 Pavarde84                9         5         1         1         10        3         3         1         10        6         3         
Vardas85                 Pavarde85                1         10        9         10        5         9         2         7         2         1         3         
Vardas86                 Pavarde86                2         8         1         9         10        7         6         8         10        5         3         
Vardas87                 Pavarde87                6         9         9         10        10        5         6         7         2         8         1         
Vardas88                 Pavarde88                3         4         7         9         3         8         6         7         10        3         9         
Vardas89                 Pavarde89                1         3         3         5         8         3         7         6         5         9         5         
Vardas90                 Pavarde90                7         2         10        2         10        7         7         4         9         5         1         
Vardas91                 Pavarde91                6         1         6         9         10        8         7         1         9         1         8         
Vardas92                 Pavarde92                3         9         6         1         8         4         4         4         2         5         2         
Vardas93                 Pavarde93                5         10        5         9         10        10        8         4         2         6         3         
Vardas94                 Pavarde94                4         5         6         2         9         2         4         8         2         9         9         
Vardas95                 Pavarde95                1         4         6         5         10        3         5         4         10        8         8         
Vardas96                 Pavarde96                4         1         10        6         6         2         10        6         5         8         9         
Vardas97                 Pavarde97                10        5         4         8         8         9         9         6         5         9         5         
Vardas98                 Pavarde98                10        5         1         1         10        3         1         7         1         6         6         
Vardas99                 Pavarde99                9         3         5         1         8         8         2         3         6         8         8         
Vardas100                Pavarde100               4         6         10        10        8         4         6         9         3         6         3         
Vardas101                Pavarde101               4         2         3         4         6         7         6         6         1         8         7         
Vardas102                Pavarde102               1         8         1         10        7         1         6         10        1         2         5         
Vardas103                Pavarde103               5         4         9         5         3         2         1         1         4         10        7         
Vardas104                Pavarde104               10        5         5         1         2         7         5         6         2         9         7         
Vardas105                Pavarde105               10        10        10        9         2         8         4         9         2         2         10        
Vardas106                Pavarde106               5         8         5         4         9         8         5         1         1         8         5         
Vardas107                Pavarde107               5         2         5         2         1         1         8         5         4         9         3         
Vardas108                Pavarde108               8         6         6         1         1         6         1         7         3         1         4         
Vardas109                Pavarde109               9         6         10        2         5         3         8         9         1         7         8         
Vardas110                Pavarde110               3         10        3         2         2         6         7         2         9         10        7         
Vardas111                Pavarde111               9         4         6         7         5         2         2         9         10        9         2         
Vardas112                Pavarde112               5         4         4         4         6         8         3         8         4         8         7         
Vardas113                Pavarde113               2         3         4         2         10        8         5         2         9         5         6         
Vardas114                Pavarde114               9         6         5         9         5         1         4         2         5         9         5         
Vardas115                Pavarde115               2         10        7         5         6         4         1         6         5         2         9         
Vardas116                Pavarde116               1         7         7         8         4         6         10        1         9         3         8         
Vardas117                Pavarde117               2         8         6         10        5         3         1         10        10        2         10        
Vardas118                Pavarde118               9         5         10        9         8         3         6         6         9         2         5         
Vardas119                Pavarde119               2         9         6         7         5         8         7         3         6         8         5         
Vardas120                Pavarde120               6         9         5         4         10        7         2         5         6         2         6         
Vardas121                Pavarde121               2         8         6         5         7         8         7         9         3         10        8         
Vardas122                Pavarde122               1         2         7         3         9         4         1         6         5         7         2         
Vardas123                Pavarde123               2         5         9         8         4         10        2         6         3         8         10        
Vardas124                Pavarde124               3         10        1         10        6         8         7         8         9         3         4         
Vardas125                Pavarde125               4         10        10        10        6         3         7         10        5         6         8         
Vardas126                Pavarde126               2         9         3         5         3         3         3         1         7         5         7         
Vardas127                Pavarde127               2         4         2         6         8         6         10        8         7         2         3         
Vardas128                Pavarde128               7         8         6         9         7         9         5         9         8         5         7         
Vardas129                Pavarde129               2         7         1         8         2         1         2         8         6         8         9         
